fecha,aero,v1,v2,vb1,vb2,w1,w2,n1,n2,n3,t1,td,qnh,closed,Metar
Nov2003-052100Z,SPZO,30008KT,250V360,9999,,,,FEW060,,,24,M07,1023,0,"('SPZO', 'Nov2003-052100Z', '30008KT', '250V360', '9999', 'FEW060', '24/M07', 'Q1023')"
Nov2003-052200Z,SPZO,01013KT,350V080,9999,,,,SKC,,,19,3,1024,0,"('SPZO', 'Nov2003-052200Z', '01013KT', '350V080', '9999', 'SKC', '19/03', 'Q1024')"
Nov2003-052300Z,SPZO,13009KT,080V200,9999,,,,SKC,,,16,5,1025,0,"('SPZO', 'Nov2003-052300Z', '13009KT', '080V200', '9999', 'SKC', '16/05', 'Q1025')"
Nov2003-060000Z,SPZO,13008KT,,9999,,,,SKC,,,14,5,1027,0,"('SPZO', 'Nov2003-060000Z', '13008KT', '9999', 'SKC', '14/05', 'Q1027')"
Nov2003-060100Z,SPZO,VRB03KT,,9999,,,,SKC,,,13,4,1028,0,"('SPZO', 'Nov2003-060100Z', 'VRB03KT', '9999', 'SKC', '13/04', 'Q1028')"
Nov2003-060200Z,SPZO,VRB02KT,,9999,,,,SKC,,,12,4,1030,0,"('SPZO', 'Nov2003-060200Z', 'VRB02KT', '9999', 'SKC', '12/04', 'Q1030')"
Nov2003-060300Z,SPZO,00000KT,,9999,,,,SKC,,,10,5,1030,0,"('SPZO', 'Nov2003-060300Z', '00000KT', '9999', 'SKC', '10/05', 'Q1030')"
Nov2003-060400Z,SPZO,00000KT,,9999,,,,SKC,,,10,5,1030,0,"('SPZO', 'Nov2003-060400Z', '00000KT', '9999', 'SKC', '10/05', 'Q1030')"
Nov2003-060500Z,SPZO,00000KT,,9999,,,,FEW040,SCT050,,9,5,1030,0,"('SPZO', 'Nov2003-060500Z', '00000KT', '9999', 'FEW040', 'SCT050', '09/05', 'Q1030')"
Nov2003-060600Z,SPZO,00000KT,,9999,,,,SCT050,,,8,4,1030,0,"('SPZO', 'Nov2003-060600Z', '00000KT', '9999', 'SCT050', '08/04', 'Q1030')"
Nov2003-060700Z,SPZO,00000KT,,9999,,,,SCT050,,,8,5,1030,0,"('SPZO', 'Nov2003-060700Z', '00000KT', '9999', 'SCT050', '08/05', 'Q1030')"
Nov2003-060800Z,SPZO,00000KT,,9999,,,,FEW040,SCT050,,9,5,1029,0,"('SPZO', 'Nov2003-060800Z', '00000KT', '9999', 'FEW040', 'SCT050', '09/05', 'Q1029')"
Nov2003-060900Z,SPZO,00000KT,,9999,,,,FEW040,SCT050,,8,5,1029,0,"('SPZO', 'Nov2003-060900Z', '00000KT', '9999', 'FEW040', 'SCT050', '08/05', 'Q1029')"
